support,itemsets,length
0.25280444491331716,"frozenset({'J_60', 'P_No'})",2
0.1554664697401273,"frozenset({'R_Weekday', 'J_60'})",2
0.13306607588704855,"frozenset({'S_Day', 'J_60'})",2
0.12061750536273165,"frozenset({'S_Night', 'J_60'})",2
0.11507894644301438,"frozenset({'O_No', 'J_80'})",2
0.11789218271969618,"frozenset({'J_80', 'P_No'})",2
0.11136899110314027,"frozenset({'K_Driver', 'L_Female'})",2
0.3401378485775574,"frozenset({'K_Driver', 'L_Male'})",2
0.3574744171326089,"frozenset({'M_Unknown', 'K_Driver'})",2
0.36294264514540914,"frozenset({'K_Driver', 'N_Undetermined'})",2
0.43791539191897877,"frozenset({'K_Driver', 'O_No'})",2
0.44929141611281076,"frozenset({'K_Driver', 'P_No'})",2
0.12079333263002426,"frozenset({'K_Driver', 'Q_17_to_25'})",2
0.11732953546435981,"frozenset({'Q_26_to_39', 'K_Driver'})",2
0.1316067095685199,"frozenset({'K_Driver', 'Q_40_to_64'})",2
0.2754685796673348,"frozenset({'K_Driver', 'R_Weekday'})",2
0.17596792910644582,"frozenset({'K_Driver', 'R_Weekend'})",2
0.2567253929739424,"frozenset({'K_Driver', 'S_Day'})",2
0.19439462671871155,"frozenset({'K_Driver', 'S_Night'})",2
0.126296726096283,"frozenset({'K_Motorcycle rider', 'L_Male'})",2
0.12696486971199494,"frozenset({'K_Motorcycle rider', 'O_No'})",2
0.13004184688961565,"frozenset({'K_Motorcycle rider', 'P_No'})",2
0.10728979850195168,"frozenset({'K_Passenger', 'L_Female'})",2
0.11940429721841263,"frozenset({'K_Passenger', 'L_Male'})",2
0.19275943313289026,"frozenset({'M_Unknown', 'K_Passenger'})",2
0.19414846854450188,"frozenset({'N_Undetermined', 'K_Passenger'})",2
0.21858845869817492,"frozenset({'O_No', 'K_Passenger'})",2
0.2256567148433379,"frozenset({'K_Passenger', 'P_No'})",2
0.12193620986742625,"frozenset({'R_Weekday', 'K_Passenger'})",2
0.10514470584098182,"frozenset({'K_Passenger', 'R_Weekend'})",2
0.12694728698526567,"frozenset({'S_Day', 'K_Passenger'})",2
0.10006329781622535,"frozenset({'S_Night', 'K_Passenger'})",2
0.10412490769068466,"frozenset({'K_Pedestrian', 'L_Male'})",2
0.1273868551534972,"frozenset({'M_Unknown', 'K_Pedestrian'})",2
0.12860006329781623,"frozenset({'N_Undetermined', 'K_Pedestrian'})",2
0.15010373808770264,"frozenset({'O_No', 'K_Pedestrian'})",2
0.15314554981186482,"frozenset({'K_Pedestrian', 'P_No'})",2
0.2294194183633998,"frozenset({'M_Unknown', 'L_Female'})",2
0.2321799064598938,"frozenset({'N_Undetermined', 'L_Female'})",2
0.27175862432746073,"frozenset({'O_No', 'L_Female'})",2
0.27981151316946234,"frozenset({'L_Female', 'P_No'})",2
0.17746246087843304,"frozenset({'R_Weekday', 'L_Female'})",2
0.1039314976966628,"frozenset({'L_Female', 'R_Weekend'})",2
0.18850441326440903,"frozenset({'S_Day', 'L_Female'})",2
0.5705418996377958,"frozenset({'M_Unknown', 'L_Male'})",2
0.5786123712065268,"frozenset({'N_Undetermined', 'L_Male'})",2
0.6963463093856596,"frozenset({'O_No', 'L_Male'})",2
0.7137180433941696,"frozenset({'L_Male', 'P_No'})",2
0.19652213665295215,"frozenset({'Q_17_to_25', 'L_Male'})",2
0.18180539438056054,"frozenset({'Q_26_to_39', 'L_Male'})",2
0.18532193972641278,"frozenset({'Q_40_to_64', 'L_Male'})",2
0.4112423954706896,"frozenset({'R_Weekday', 'L_Male'})",2
0.3065372577979393,"frozenset({'L_Male', 'R_Weekend'})",2
0.3805429546013996,"frozenset({'S_Day', 'L_Male'})",2
0.3367971304989978,"frozenset({'S_Night', 'L_Male'})",2
0.7994514189260471,"frozenset({'M_Unknown', 'N_Undetermined'})",2
0.7755564933009811,"frozenset({'M_Unknown', 'O_No'})",2
0.7973063262650771,"frozenset({'M_Unknown', 'P_No'})",2
0.21711150965291698,"frozenset({'M_Unknown', 'Q_17_to_25'})",2
0.1886626578049724,"frozenset({'M_Unknown', 'Q_26_to_39'})",2
0.19523859760171608,"frozenset({'M_Unknown', 'Q_40_to_64'})",2
0.46791152371909833,"frozenset({'M_Unknown', 'R_Weekday'})",2
0.3322256215493899,"frozenset({'M_Unknown', 'R_Weekend'})",2
0.44983648064141785,"frozenset({'M_Unknown', 'S_Day'})",2
0.34977318282519254,"frozenset({'M_Unknown', 'S_Night'})",2
0.7859654675247038,"frozenset({'N_Undetermined', 'O_No'})",2
0.8080493722966557,"frozenset({'N_Undetermined', 'P_No'})",2
0.21901044413967719,"frozenset({'N_Undetermined', 'Q_17_to_25'})",2
0.19114182227379822,"frozenset({'Q_26_to_39', 'N_Undetermined'})",2
0.19915954566234131,"frozenset({'N_Undetermined', 'Q_40_to_64'})",2
0.4743292189752787,"frozenset({'N_Undetermined', 'R_Weekday'})",2
0.33663888595843444,"frozenset({'N_Undetermined', 'R_Weekend'})",2
0.4562893413510567,"frozenset({'S_Day', 'N_Undetermined'})",2
0.3541336990540493,"frozenset({'S_Night', 'N_Undetermined'})",2
0.9627597847874249,"frozenset({'O_No', 'P_No'})",2
0.24693181418574392,"frozenset({'O_No', 'Q_17_to_25'})",2
0.22526989485529417,"frozenset({'Q_26_to_39', 'O_No'})",2
0.2498857122762598,"frozenset({'O_No', 'Q_40_to_64'})",2
0.5685902169708479,"frozenset({'R_Weekday', 'O_No'})",2
0.39984878855012834,"frozenset({'O_No', 'R_Weekend'})",2
0.5513415620494426,"frozenset({'S_Day', 'O_No'})",2
0.41660512712311426,"frozenset({'S_Night', 'O_No'})",2
0.254211063051658,"frozenset({'Q_17_to_25', 'P_No'})",2
0.23124802194324295,"frozenset({'Q_26_to_39', 'P_No'})",2
0.2559517529978549,"frozenset({'Q_40_to_64', 'P_No'})",2
0.5858740373457115,"frozenset({'R_Weekday', 'P_No'})",2
0.40800717375250556,"frozenset({'P_No', 'R_Weekend'})",2
0.5663396279495024,"frozenset({'S_Day', 'P_No'})",2
0.4269965186201076,"frozenset({'S_Night', 'P_No'})",2
0.1261560642824489,"frozenset({'R_Weekday', 'Q_17_to_25'})",2
0.12944403418082076,"frozenset({'Q_17_to_25', 'R_Weekend'})",2
0.10468755494602103,"frozenset({'S_Day', 'Q_17_to_25'})",2
0.15068396806976825,"frozenset({'S_Night', 'Q_17_to_25'})",2
0.1287934732918381,"frozenset({'Q_26_to_39', 'R_Weekday'})",2
0.10394908042339206,"frozenset({'Q_26_to_39', 'R_Weekend'})",2
0.10973379751731899,"frozenset({'Q_26_to_39', 'S_Day'})",2
0.12286809438407709,"frozenset({'Q_26_to_39', 'S_Night'})",2
0.16019622323029856,"frozenset({'R_Weekday', 'Q_40_to_64'})",2
0.16186658226957837,"frozenset({'S_Day', 'Q_40_to_64'})",2
0.39554102050145934,"frozenset({'S_Day', 'R_Weekday'})",2
0.19330449766149735,"frozenset({'S_Night', 'R_Weekday'})",2
0.17401624643949784,"frozenset({'S_Day', 'R_Weekend'})",2
0.23636459542145796,"frozenset({'S_Night', 'R_Weekend'})",2
