National LGA Name 2021,State,National Remoteness Areas,Location Dimension Index
Balranald,NSW,Remote Australia,421
Port Macquarie-Hastings,NSW,Outer Regional Australia,422
Kingborough,Tas,Outer Regional Australia,423
Copper Coast,SA,Outer Regional Australia,424
Lockhart,NSW,Inner Regional Australia,425
Naracoorte Lucindale,SA,Outer Regional Australia,426
Southern Mallee,SA,Remote Australia,427
Glen Innes Severn,NSW,Inner Regional Australia,428
Kentish,Tas,Outer Regional Australia,429
Goyder,SA,Inner Regional Australia,430
Flinders Ranges,SA,Outer Regional Australia,431
Unknown,ACT,Unknown,432
Greater Geelong,Vic,Inner Regional Australia,433
Loddon,Vic,Inner Regional Australia,434
Wellington,Vic,Outer Regional Australia,435
Junee,NSW,Inner Regional Australia,436
Victor Harbor,SA,Inner Regional Australia,437
Burnside,SA,Major Cities of Australia,438
Coomalie,NT,Remote Australia,439
Corangamite,Vic,Outer Regional Australia,440
Wakefield,SA,Inner Regional Australia,441
Unknown,WA,Inner Regional Australia,442
Unknown,WA,Outer Regional Australia,443
Unknown,WA,Major Cities of Australia,444
Unknown,WA,Very Remote Australia,445
Mosman,NSW,Major Cities of Australia,446
Glamorgan-Spring Bay,Tas,Outer Regional Australia,447
Penrith,NSW,Inner Regional Australia,448
Unknown,WA,Remote Australia,449
Southern Midlands,Tas,Outer Regional Australia,450
Scenic Rim,Qld,Outer Regional Australia,451
Mount Alexander,Vic,Inner Regional Australia,452
North Sydney,NSW,Major Cities of Australia,453
Western Downs,Qld,Inner Regional Australia,454
Woollahra,NSW,Major Cities of Australia,455
Prospect,SA,Major Cities of Australia,456
Unknown,WA,Unknown,457
Unknown,NT,Unknown,458
Katherine,NT,Remote Australia,459
Mareeba,Qld,Remote Australia,460
Mildura,Vic,Remote Australia,461
Northern Peninsula Area,Qld,Very Remote Australia,462
Mitchell,Vic,Major Cities of Australia,463
Kyogle,NSW,Outer Regional Australia,464
Unincorporated NT,NT,Outer Regional Australia,465
Orroroo Carrieton,SA,Outer Regional Australia,466
Central Goldfields,Vic,Inner Regional Australia,467
Unincorporated NT,NT,Remote Australia,468
Central Darling,NSW,Very Remote Australia,469
Balonne,Qld,Remote Australia,470
Kingborough,Tas,Inner Regional Australia,471
Maranoa,Qld,Very Remote Australia,472
Walgett,NSW,Remote Australia,473
Coolamon,NSW,Outer Regional Australia,474
Bulloo,Qld,Very Remote Australia,475
Bellingen,NSW,Outer Regional Australia,476
Lane Cove,NSW,Major Cities of Australia,477
Walcha,NSW,Outer Regional Australia,478
Northern Grampians,Vic,Inner Regional Australia,479
Bogan,NSW,Very Remote Australia,480
The Hills,NSW,Inner Regional Australia,481
South Gippsland,Vic,Outer Regional Australia,482
Cleve,SA,Remote Australia,483
West Arnhem,NT,Remote Australia,484
Wentworth,NSW,Outer Regional Australia,485
King Island,Tas,Very Remote Australia,486
Kangaroo Island,SA,Remote Australia,487
Meander Valley,Tas,Inner Regional Australia,488
Uralla,NSW,Inner Regional Australia,489
Holdfast Bay,SA,Major Cities of Australia,490
Douglas,Qld,Remote Australia,491
Carrathool,NSW,Remote Australia,492
Bogan,NSW,Remote Australia,493
Brewarrina,NSW,Very Remote Australia,494
East Arnhem,NT,Very Remote Australia,495
Port Lincoln,SA,Remote Australia,496
Queanbeyan-Palerang Regional,NSW,Outer Regional Australia,497
Longreach,Qld,Very Remote Australia,498
Colac Otway,Vic,Outer Regional Australia,499
Lower Eyre Peninsula,SA,Remote Australia,500
MacDonnell,NT,Remote Australia,501
Dandaragan,WA,Outer Regional Australia,502
York,WA,Inner Regional Australia,503
Rockingham,WA,Major Cities of Australia,504
Plantagenet,WA,Outer Regional Australia,505
Kwinana,WA,Major Cities of Australia,506
Murray,WA,Inner Regional Australia,507
Dumbleyung,WA,Remote Australia,508
Port Hedland,WA,Remote Australia,509
Coolamon,NSW,Inner Regional Australia,510
Stirling,WA,Major Cities of Australia,511
Robe,SA,Outer Regional Australia,512
Cambridge,WA,Major Cities of Australia,513
Swan,WA,Major Cities of Australia,514
Wanneroo,WA,Major Cities of Australia,515
Canning,WA,Major Cities of Australia,516
Richmond Valley,NSW,Outer Regional Australia,517
Gosnells,WA,Major Cities of Australia,518
Serpentine-Jarrahdale,WA,Major Cities of Australia,519
Mandurah,WA,Major Cities of Australia,520
Southern Mallee,SA,Outer Regional Australia,521
Woodanilling,WA,Outer Regional Australia,522
Dowerin,WA,Outer Regional Australia,523
Kalgoorlie-Boulder,WA,Outer Regional Australia,524
Greater Geraldton,WA,Outer Regional Australia,525
Harvey,WA,Inner Regional Australia,526
Serpentine-Jarrahdale,WA,Inner Regional Australia,527
Bayswater,WA,Major Cities of Australia,528
Doomadgee,Qld,Very Remote Australia,529
Croydon,Qld,Very Remote Australia,530
West Arnhem,NT,Very Remote Australia,531
Albany,WA,Outer Regional Australia,532
Central Highlands (Tas.),Tas,Outer Regional Australia,533
Lockhart,NSW,Outer Regional Australia,534
Chittering,WA,Inner Regional Australia,535
Perenjori,WA,Remote Australia,536
Mount Magnet,WA,Very Remote Australia,537
Donnybrook-Balingup,WA,Inner Regional Australia,538
Cobar,NSW,Remote Australia,539
Hope Vale,Qld,Remote Australia,540
Augusta Margaret River,WA,Outer Regional Australia,541
Vincent,WA,Major Cities of Australia,542
Wickepin,WA,Outer Regional Australia,543
Clare and Gilbert Valleys,SA,Inner Regional Australia,544
Wangaratta,Vic,Outer Regional Australia,545
Cockburn,WA,Major Cities of Australia,546
Kalgoorlie-Boulder,WA,Very Remote Australia,547
Victoria Park,WA,Major Cities of Australia,548
Armadale,WA,Major Cities of Australia,549
Bunbury,WA,Inner Regional Australia,550
Kalamunda,WA,Major Cities of Australia,551
Gingin,WA,Inner Regional Australia,552
Moora,WA,Remote Australia,553
Perth,WA,Major Cities of Australia,554
Busselton,WA,Inner Regional Australia,555
Williams,WA,Outer Regional Australia,556
Augusta Margaret River,WA,Inner Regional Australia,557
Derwent Valley,Tas,Outer Regional Australia,558
Quilpie,Qld,Very Remote Australia,559
Kojonup,WA,Outer Regional Australia,560
Mount Marshall,WA,Remote Australia,561
Kingston (SA),SA,Outer Regional Australia,562
Karratha,WA,Remote Australia,563
Elliston,SA,Very Remote Australia,564
Coolgardie,WA,Very Remote Australia,565
Port Hedland,WA,Very Remote Australia,566
Tablelands,Qld,Remote Australia,567
Derby-West Kimberley,WA,Very Remote Australia,568
Mundaring,WA,Inner Regional Australia,569
Light,SA,Major Cities of Australia,570
Belmont,WA,Major Cities of Australia,571
Nungarin,WA,Remote Australia,572
Bayside (Vic.),Vic,Major Cities of Australia,573
Northam,WA,Inner Regional Australia,574
Melville,WA,Major Cities of Australia,575
Bassendean,WA,Major Cities of Australia,576
Yilgarn,WA,Remote Australia,577
Broome,WA,Very Remote Australia,578
Chapman Valley,WA,Remote Australia,579
Uralla,NSW,Outer Regional Australia,580
Broomehill-Tambellup,WA,Outer Regional Australia,581
Meekatharra,WA,Very Remote Australia,582
Esperance,WA,Remote Australia,583
Capel,WA,Inner Regional Australia,584
Dundas,WA,Very Remote Australia,585
Towong,Vic,Inner Regional Australia,586
Lake Grace,WA,Very Remote Australia,587
Dardanup,WA,Inner Regional Australia,588
Kondinin,WA,Very Remote Australia,589
Kent,WA,Remote Australia,590
Canada Bay,NSW,Major Cities of Australia,591
Wagin,WA,Outer Regional Australia,592
Manjimup,WA,Outer Regional Australia,593
Murray,WA,Major Cities of Australia,594
Denmark,WA,Outer Regional Australia,595
Singleton,NSW,Outer Regional Australia,596
Banana,Qld,Remote Australia,597
Boddington,WA,Inner Regional Australia,598
Bruce Rock,WA,Remote Australia,599
Swan,WA,Inner Regional Australia,600
Kulin,WA,Remote Australia,601
Cuballing,WA,Outer Regional Australia,602
Dungog,NSW,Outer Regional Australia,603
Carnarvon,WA,Very Remote Australia,604
Hindmarsh,Vic,Outer Regional Australia,605
Wyndham-East Kimberley,WA,Very Remote Australia,606
Beverley,WA,Outer Regional Australia,607
Ravensthorpe,WA,Very Remote Australia,608
Joondalup,WA,Major Cities of Australia,609
Mount Isa,Qld,Very Remote Australia,610
Moorabool,Vic,Major Cities of Australia,611
Coober Pedy,SA,Very Remote Australia,612
Central Highlands (Qld),Qld,Very Remote Australia,613
Dalwallinu,WA,Remote Australia,614
Gnowangerup,WA,Remote Australia,615
Junee,NSW,Outer Regional Australia,616
Unknown,Tas,Unknown,617
Goulburn Mulwaree,NSW,Outer Regional Australia,618
Goyder,SA,Outer Regional Australia,619
Wongan-Ballidu,WA,Remote Australia,620
Collie,WA,Inner Regional Australia,621
Armadale,WA,Inner Regional Australia,622
Cootamundra-Gundagai,NSW,Outer Regional Australia,623
Wanneroo,WA,Inner Regional Australia,624
East Pilbara,WA,Very Remote Australia,625
Menzies,WA,Very Remote Australia,626
Halls Creek,WA,Very Remote Australia,627
Irwin,WA,Outer Regional Australia,628
Walgett,NSW,Very Remote Australia,629
Yarrabah,Qld,Outer Regional Australia,630
Pingelly,WA,Outer Regional Australia,631
Narrabri,NSW,Remote Australia,632
