LocationID,National LGA Name 2021,State,National Remoteness Areas,SA4 Name 2021
413,Somerset,Qld,Outer Regional Australia,Moreton Bay - North
414,Lachlan,NSW,Remote Australia,Central West
415,Gwydir,NSW,Outer Regional Australia,New England and North West
416,Port Adelaide Enfield,SA,Major Cities of Australia,Adelaide - North
417,Macedon Ranges,Vic,Inner Regional Australia,Bendigo
418,Banyule,Vic,Major Cities of Australia,Melbourne - North East
419,Lithgow,NSW,Outer Regional Australia,Central West
420,Federation,NSW,Inner Regional Australia,Murray
421,Wagga Wagga,NSW,Outer Regional Australia,Riverina
422,Coonamble,NSW,Remote Australia,Far West and Orana
423,Kempsey,NSW,Inner Regional Australia,Mid North Coast
424,Carrathool,NSW,Outer Regional Australia,Riverina
425,Barcoo,Qld,Very Remote Australia,Queensland - Outback
426,Mareeba,Qld,Outer Regional Australia,Queensland - Outback
427,Hobsons Bay,Vic,Major Cities of Australia,Melbourne - West
428,Temora,NSW,Outer Regional Australia,Riverina
429,Karoonda East Murray,SA,Outer Regional Australia,South Australia - South East
430,Livingstone,Qld,Inner Regional Australia,Central Queensland
431,Unincorporated Vic,Vic,Outer Regional Australia,Latrobe - Gippsland
432,Gannawarra,Vic,Outer Regional Australia,North West
433,Blue Mountains,NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains
434,Ceduna,SA,Very Remote Australia,South Australia - Outback
435,Parramatta,NSW,Major Cities of Australia,Sydney - Ryde
436,Whitsunday,Qld,Remote Australia,Mackay - Isaac - Whitsunday
437,Shellharbour,NSW,Inner Regional Australia,Illawarra
438,Darwin,NT,Outer Regional Australia,Darwin
439,Baw Baw,Vic,Outer Regional Australia,Latrobe - Gippsland
440,Central Desert,NT,Very Remote Australia,Northern Territory - Outback
441,Sutherland,NSW,Inner Regional Australia,Sydney - Outer South West
442,Kempsey,NSW,Outer Regional Australia,Mid North Coast
443,Carpentaria,Qld,Very Remote Australia,Queensland - Outback
444,Unknown,Vic,Unknown,Unknown
445,Wudinna,SA,Very Remote Australia,South Australia - Outback
446,Murweh,Qld,Very Remote Australia,Queensland - Outback
447,Eurobodalla,NSW,Outer Regional Australia,Capital Region
448,Renmark Paringa,SA,Outer Regional Australia,South Australia - South East
449,Loxton Waikerie,SA,Outer Regional Australia,South Australia - South East
450,Central Coast (Tas.),Tas,Outer Regional Australia,West and North West
451,Berrigan,NSW,Outer Regional Australia,Murray
452,Norwood Payneham and St Peters,SA,Major Cities of Australia,Adelaide - Central and Hills
453,Sorell,Tas,Outer Regional Australia,Hobart
454,Clarence Valley,NSW,Outer Regional Australia,Coffs Harbour - Grafton
455,Yass Valley,NSW,Major Cities of Australia,Capital Region
456,MacDonnell,NT,Very Remote Australia,Northern Territory - Outback
457,Leeton,NSW,Outer Regional Australia,Riverina
458,Balranald,NSW,Remote Australia,Murray
459,Scenic Rim,Qld,Inner Regional Australia,Gold Coast
460,Port Macquarie-Hastings,NSW,Outer Regional Australia,Mid North Coast
461,Kingborough,Tas,Outer Regional Australia,South East
462,Moreland,Vic,Major Cities of Australia,Melbourne - Inner
463,Copper Coast,SA,Outer Regional Australia,Barossa - Yorke - Mid North
464,Lockhart,NSW,Inner Regional Australia,Riverina
465,Naracoorte Lucindale,SA,Outer Regional Australia,South Australia - South East
466,Southern Mallee,SA,Remote Australia,South Australia - South East
467,Glen Innes Severn,NSW,Inner Regional Australia,New England and North West
468,Hornsby,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury
469,Kentish,Tas,Outer Regional Australia,West and North West
470,Goyder,SA,Inner Regional Australia,Barossa - Yorke - Mid North
471,Brimbank,Vic,Major Cities of Australia,Melbourne - North West
472,Flinders Ranges,SA,Outer Regional Australia,South Australia - Outback
473,Unknown,ACT,Unknown,Unknown
474,Greater Geelong,Vic,Inner Regional Australia,Geelong
475,Loddon,Vic,Inner Regional Australia,Bendigo
